번호,개방서비스명,인허가일자,상세영업상태명,폐업일자,사업장명,업태구분명,업종구분
2,건강기능식품일반판매업,2025-07-22,영업,,쇼핑하자,,건강기능식품일반판매업
3,건강기능식품일반판매업,2025-07-22,영업,,반월당건기능식품몰,,건강기능식품일반판매업
11,건강기능식품일반판매업,2025-07-08,폐업,2025-07-17,마이메이트,,건강기능식품일반판매업
19,건강기능식품일반판매업,2025-07-07,영업,,다이소 대구신남역점,,건강기능식품일반판매업
26,건강기능식품일반판매업,2025-06-24,영업,,다이클로 도원힐스테이트점,,건강기능식품일반판매업
27,건강기능식품일반판매업,2025-06-23,영업,,오에스다마,,건강기능식품일반판매업
29,건강기능식품일반판매업,2025-06-17,영업,,다이소 대구반월당환승역점,,건강기능식품일반판매업
30,건강기능식품일반판매업,2025-06-17,영업,,다이소 대구중앙로점,,건강기능식품일반판매업
31,건강기능식품일반판매업,2025-06-13,영업,,올바름,,건강기능식품일반판매업
34,건강기능식품일반판매업,2025-06-04,영업,,주식회사 모두모아,,건강기능식품일반판매업
35,건강기능식품일반판매업,2025-06-02,영업,,워아이니코리아,,건강기능식품일반판매업
38,건강기능식품일반판매업,2025-05-23,영업,,다이소 대구동성로본점,,건강기능식품일반판매업
40,건강기능식품일반판매업,2025-05-22,영업,,아이언라이트 코퍼레이션,,건강기능식품일반판매업
42,건강기능식품일반판매업,2025-05-16,영업,,알토스피플,,건강기능식품일반판매업
43,건강기능식품일반판매업,2025-05-13,영업,,빅토리컴퍼니,,건강기능식품일반판매업
44,건강기능식품일반판매업,2025-05-08,영업,,건다움,,건강기능식품일반판매업
45,건강기능식품일반판매업,2025-05-01,영업,,디원마케팅,,건강기능식품일반판매업
46,건강기능식품일반판매업,2025-04-22,영업,,션샤인컴퍼니,,건강기능식품일반판매업
47,건강기능식품일반판매업,2025-04-21,영업,,금산 홍삼,,건강기능식품일반판매업
48,건강기능식품일반판매업,2025-04-03,폐업,2025-06-12,더나은건강,,건강기능식품일반판매업
49,건강기능식품일반판매업,2025-03-28,영업,,해그린소아청소년과의원,,건강기능식품일반판매업
50,건강기능식품일반판매업,2025-03-25,영업,,더베스트,,건강기능식품일반판매업
51,건강기능식품일반판매업,2025-03-13,영업,,삼덕정형웰빙,,건강기능식품일반판매업
52,건강기능식품일반판매업,2025-03-04,영업,,자연록,,건강기능식품일반판매업
53,건강기능식품일반판매업,2025-02-26,영업,,미르라운지,,건강기능식품일반판매업
54,건강기능식품일반판매업,2025-02-25,영업,,디이스트,,건강기능식품일반판매업
