연도,업종구분,연초 활동기업 수,창업 수,폐업 수,창업률(%),폐업률(%),창업기업수,1년생존율(%),2년생존율(%),3년생존율(%),4년생존율(%),5년생존율(%)
2020,PC방,0,1,0,,,1,100,100,0,0,0
2021,PC방,1,3,1,300,100,3,33.33,0,0,0,
2022,PC방,3,0,1,0,33.33,0,0,0,0,0,0
2023,PC방,2,3,2,150,100,3,100,100,,,
2024,PC방,3,3,0,100,0,3,100,,,,
2025,PC방,6,1,0,16.67,0,1,,,,,
2020,건강기능식품일반판매업,0,65,3,,,65,78.46,58.46,40,36.92,36.92
2021,건강기능식품일반판매업,62,85,20,137.1,32.26,85,65.88,48.24,34.12,30.59,
2022,건강기능식품일반판매업,127,108,37,85.04,29.13,108,59.26,32.41,29.63,,
2023,건강기능식품일반판매업,198,103,76,52.02,38.38,103,52.43,43.69,,,
2024,건강기능식품일반판매업,225,59,91,26.22,40.44,59,83.05,,,,
2025,건강기능식품일반판매업,193,42,23,21.76,11.92,42,,,,,
2020,고기집,0,13,0,,,13,100,100,92.31,84.62,76.92
2021,고기집,13,7,0,53.85,0,7,100,57.14,57.14,57.14,
2022,고기집,20,8,1,40,5,8,62.5,50,50,,
2023,고기집,27,10,7,37.04,25.93,10,70,70,,,
2024,고기집,30,15,6,50,20,15,80,,,,
2025,고기집,39,8,2,20.51,5.13,8,,,,,
2020,기타,0,132,67,,,132,37.12,28.03,20.45,17.42,14.39
2021,기타,65,133,81,204.62,100,133,39.1,27.82,22.56,20.3,
2022,기타,117,132,74,112.82,63.25,132,49.24,40.91,37.12,,
2023,기타,175,123,106,70.29,60.57,123,36.59,32.52,,,
2024,기타,192,127,112,66.15,58.33,127,35.43,,,,
2025,기타,207,99,88,47.83,42.51,99,,,,,
2020,네일아트업,0,15,0,,,15,100,93.33,80,73.33,73.33
2021,네일아트업,15,31,1,206.67,6.67,31,87.1,74.19,67.74,67.74,
2022,네일아트업,45,31,4,68.89,8.89,31,83.87,77.42,74.19,,
2023,네일아트업,72,35,12,48.61,16.67,35,88.57,77.14,,,
2024,네일아트업,95,23,8,24.21,8.42,23,100,,,,
2025,네일아트업,110,11,5,10,4.55,11,,,,,
2020,노래방,0,4,0,,,4,100,100,100,100,100
2021,노래방,4,0,0,0,0,0,0,0,0,0,0
2022,노래방,4,1,0,25,0,1,0,0,0,,
2023,노래방,5,4,1,80,20,4,100,100,,,
2024,노래방,8,2,0,25,0,2,100,,,,
2025,노래방,10,0,0,0,0,0,0,0,0,0,0
2020,당구장,0,0,0,,,0,0,0,0,0,0
2021,당구장,0,2,0,0,0,2,100,100,100,100,
2022,당구장,2,1,0,50,0,1,100,100,100,,
2023,당구장,3,0,0,0,0,0,0,0,0,0,0
2024,당구장,3,0,0,0,0,0,0,0,0,0,0
2025,당구장,3,0,0,0,0,0,0,0,0,0,0
2020,동물미용업,0,1,0,,,1,100,100,100,100,100
2021,동물미용업,1,1,0,100,0,1,100,100,100,100,
2022,동물미용업,2,3,0,150,0,3,100,66.67,66.67,,
2023,동물미용업,5,5,0,100,0,5,100,100,,,
2024,동물미용업,10,5,1,50,10,5,100,,,,
2025,동물미용업,14,4,0,28.57,0,4,,,,,
2020,메이크업업,0,10,0,,,10,90,90,90,80,80
2021,메이크업업,10,18,1,180,10,18,88.89,77.78,61.11,55.56,
2022,메이크업업,27,19,3,70.37,11.11,19,84.21,73.68,68.42,,
2023,메이크업업,43,27,6,62.79,13.95,27,66.67,62.96,,,
2024,메이크업업,64,36,14,56.25,21.88,36,83.33,,,,
2025,메이크업업,86,15,8,17.44,9.3,15,,,,,
2020,보드게임카페,0,2,0,,,2,100,100,100,100,100
2021,보드게임카페,2,0,0,0,0,0,0,0,0,0,0
2022,보드게임카페,2,0,0,0,0,0,0,0,0,0,0
2023,보드게임카페,2,5,0,250,0,5,100,100,,,
2024,보드게임카페,7,1,0,14.29,0,1,100,,,,
2025,보드게임카페,8,0,0,0,0,0,0,0,0,0,0
2020,분식,0,44,6,,,44,72.73,50,43.18,43.18,43.18
2021,분식,38,20,7,52.63,18.42,20,55,35,20,20,
2022,분식,51,26,21,50.98,41.18,26,65.38,53.85,46.15,,
2023,분식,56,39,24,69.64,42.86,39,53.85,51.28,,,
2024,분식,71,51,35,71.83,49.3,51,52.94,,,,
2025,분식,87,32,8,36.78,9.2,32,,,,,
2020,숙박업,0,3,0,,,3,100,100,100,100,100
2021,숙박업,3,1,0,33.33,0,1,100,100,100,100,
2022,숙박업,4,8,0,200,0,8,87.5,87.5,87.5,,
2023,숙박업,12,13,1,108.33,8.33,13,100,100,,,
2024,숙박업,24,22,0,91.67,0,22,100,,,,
2025,숙박업,46,41,0,89.13,0,41,,,,,
2020,양식,0,74,4,,,74,82.43,77.03,60.81,54.05,52.7
2021,양식,70,67,11,95.71,15.71,67,83.58,73.13,58.21,56.72,
2022,양식,126,67,19,53.17,15.08,67,74.63,64.18,62.69,,
2023,양식,174,47,38,27.01,21.84,47,63.83,55.32,,,
2024,양식,183,62,43,33.88,23.5,62,79.03,,,,
2025,양식,202,34,18,16.83,8.91,34,,,,,
2020,여행업,0,9,0,,,9,77.78,55.56,55.56,44.44,44.44
2021,여행업,9,8,4,88.89,44.44,8,75,75,75,75,
2022,여행업,13,8,3,61.54,23.08,8,87.5,75,75,,
2023,여행업,18,6,0,33.33,0,6,100,100,,,
2024,여행업,24,11,2,45.83,8.33,11,100,,,,
2025,여행업,33,3,0,9.09,0,3,,,,,
2020,오락,0,2,0,,,2,100,50,50,50,50
2021,오락,2,3,1,150,50,3,66.67,66.67,66.67,66.67,
2022,오락,4,0,1,0,25,0,0,0,0,0,0
2023,오락,3,4,0,133.33,0,4,100,100,,,
2024,오락,7,11,0,157.14,0,11,100,,,,
2025,오락,18,5,0,27.78,0,5,,,,,
2020,일반미용업,0,52,2,,,52,90.38,82.69,76.92,63.46,61.54
2021,일반미용업,50,42,4,84,8,42,85.71,78.57,69.05,61.9,
2022,일반미용업,88,65,12,73.86,13.64,65,92.31,86.15,83.08,,
2023,일반미용업,141,53,11,37.59,7.8,53,94.34,94.34,,,
2024,일반미용업,183,43,16,23.5,8.74,43,95.35,,,,
2025,일반미용업,210,33,8,15.71,3.81,33,,,,,
2020,일식,0,29,6,,,29,65.52,51.72,51.72,41.38,37.93
2021,일식,23,33,6,143.48,26.09,33,84.85,81.82,72.73,66.67,
2022,일식,50,46,11,92,22,46,84.78,69.57,67.39,,
2023,일식,85,48,16,56.47,18.82,48,70.83,66.67,,,
2024,일식,117,35,24,29.91,20.51,35,68.57,,,,
2025,일식,128,24,14,18.75,10.94,24,,,,,
2020,주점,0,27,1,,,27,77.78,70.37,59.26,40.74,37.04
2021,주점,26,24,7,92.31,26.92,24,91.67,62.5,58.33,58.33,
